"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"52",NA,"Ocean",1021.53,1678.06,1677.71,1678.87,1677.08,1678.41,1677.12,1677.36,9670.28,19089.6,620.195,1677.94,1244.37,1208.37,1622.65
"53",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"56",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"57",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"58",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"59","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"67",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"68",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"69",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"70","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.229025,0.19
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",50.8462,51.1464,51.1825,51.2824,51.164,51.1149,51.181,51.1812,54.087,54.06,50.2886,51.2121,50.3993,51.2059,51.3395
"74",NA,"VonBert_K_Fem_GP_1",0.183663,0.181183,0.181036,0.180739,0.181084,0.181242,0.181046,0.181036,0.162663,0.162701,0.187791,0.180952,0.183182,0.178104,0.183576
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"83",NA,"NatM_uniform_Mal_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.228876,0.17
"84",NA,"L_at_Amin_Mal_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",NA,"L_at_Amax_Mal_GP_1",46.615,46.3941,46.4519,46.6721,46.41,46.3293,46.448,46.4501,46.5318,46.7316,46.6007,46.5138,44.7417,45.3945,46.3046
"86",NA,"VonBert_K_Mal_GP_1",0.209433,0.212644,0.212197,0.210702,0.212461,0.213024,0.212242,0.212214,0.212281,0.208623,0.208885,0.211815,0.218772,0.213559,0.218066
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"91",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"93",NA,"SR_LN(R0)",8.13491,8.15037,8.1734,8.07152,8.18909,8.16822,8.17221,8.16819,8.22919,8.25509,8.1126,8.14559,8.09509,8.87831,8.12397
"94",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"95",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"96",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",NA,"Main_RecrDev_1980",-0.763698,-0.749857,-0.778218,-0.602664,-0.810472,-0.695943,-0.774428,-0.768383,-0.80732,-0.791631,-0.73086,-0.877146,-0.686425,-0.57463,-0.701449
"99",NA,"Main_RecrDev_1981",-0.782661,-0.714303,-0.740386,-0.575428,-0.770578,-0.695742,-0.736785,-0.731329,-0.668728,-0.668449,-0.766668,-0.826271,-0.700999,-0.615539,-0.620424
"100",NA,"Main_RecrDev_1982",-0.571477,-0.435192,-0.462109,-0.287833,-0.493131,-0.461139,-0.458417,-0.453172,-0.265328,-0.28396,-0.606974,-0.542244,-0.453437,-0.393221,-0.391445
"101",NA,"Main_RecrDev_1983",-0.613467,-0.484221,-0.510245,-0.340441,-0.540327,-0.521687,-0.506628,-0.501526,-0.437458,-0.458012,-0.628586,-0.579527,-0.496866,-0.458911,-0.365467
"102",NA,"Main_RecrDev_1984",-0.175511,-0.058891,-0.0842973,0.0847959,-0.113645,-0.118337,-0.080792,-0.076082,0.0124558,-0.0214697,-0.227846,-0.135199,-0.0894445,-0.085556,0.0817383
"103",NA,"Main_RecrDev_1985",0.07481,0.131228,0.10731,0.270561,0.079112,0.070662,0.1107,0.115111,0.129049,0.100182,0.0430406,0.0770007,0.0871405,0.0775804,0.081337
"104",NA,"Main_RecrDev_1986",-0.0866929,-0.0582215,-0.0799103,0.075642,-0.106887,-0.110358,-0.0766062,-0.0724953,-0.091943,-0.120408,-0.0972395,-0.0901822,-0.133961,-0.13974,-0.0973003
"105",NA,"Main_RecrDev_1987",-0.131917,-0.141256,-0.160516,-0.0116842,-0.186391,-0.186647,-0.157229,-0.15352,-0.169534,-0.199443,-0.13287,-0.150182,-0.241576,-0.238825,-0.0617973
"106",NA,"Main_RecrDev_1988",-0.0430835,-0.105237,-0.12215,0.0212862,-0.147136,-0.144934,-0.118791,-0.115523,-0.229706,-0.262853,-0.000417813,-0.0933749,-0.249877,-0.235164,-0.0214505
"107",NA,"Main_RecrDev_1989",0.226656,0.160624,0.145949,0.284549,0.121745,0.124815,0.149483,0.152262,0.0526816,0.0187578,0.268945,0.190428,-0.00776511,0.0207557,0.147891
"108",NA,"Main_RecrDev_1990",0.128922,0.109524,0.0967132,0.23035,0.0732273,0.078442,0.100513,0.102841,0.0661727,0.0320469,0.133477,0.149364,-0.0700056,-0.0258658,0.150732
"109",NA,"Main_RecrDev_1991",0.247942,0.230363,0.219247,0.346941,0.196754,0.202609,0.223348,0.225207,0.183892,0.150036,0.251576,0.272594,0.0523547,0.109604,0.267161
"110",NA,"Main_RecrDev_1992",0.150957,0.13292,0.12359,0.243286,0.102588,0.109281,0.127987,0.12935,0.0919303,0.0604704,0.153828,0.177769,-0.0285535,0.0410475,0.147475
"111",NA,"Main_RecrDev_1993",0.136072,0.116933,0.108493,0.219132,0.0896139,0.0979822,0.113096,0.114089,0.0752475,0.0487949,0.140096,0.160268,-0.0026252,0.0552828,0.0724944
"112",NA,"Main_RecrDev_1994",0.413975,0.400487,0.392593,0.492784,0.376671,0.386901,0.397301,0.397997,0.375668,0.356701,0.413091,0.431203,0.343062,0.377894,0.287642
"113",NA,"Main_RecrDev_1995",0.337799,0.329866,0.322419,0.411677,0.310641,0.322656,0.327159,0.327616,0.326658,0.317201,0.330305,0.347719,0.341725,0.350507,0.189633
"114",NA,"Main_RecrDev_1996",0.0472607,0.0526461,0.0462073,0.124831,0.0408677,0.0520004,0.0510359,0.0511669,0.0687183,0.0655209,0.0284858,0.0645058,0.0893205,0.0859481,-0.0702988
"115",NA,"Main_RecrDev_1997",-0.0013206,0.0249745,0.0202353,0.0864266,0.0247877,0.029015,0.0252931,0.0249107,0.0487618,0.0495761,-0.0335187,0.0368847,0.0242025,0.0122177,-0.175695
"116",NA,"Main_RecrDev_1998",-0.313813,-0.280002,-0.283197,-0.233031,-0.269982,-0.269115,-0.278194,-0.278931,-0.277055,-0.280052,-0.334172,-0.271148,-0.313468,-0.33365,-0.213016
"117",NA,"Main_RecrDev_1999",0.506141,0.53401,0.529551,0.562627,0.552343,0.543542,0.537382,0.53622,0.563064,0.572826,0.468534,0.545566,0.687206,0.650961,0.233687
"118",NA,"Main_RecrDev_2000",0.825554,0.821946,0.826838,0.819747,0.851144,0.831467,0.826685,0.825583,0.862227,0.871209,0.806347,0.843503,0.86951,0.852303,0.448034
"119",NA,"Main_RecrDev_2001",0.183675,0.15951,0.187994,0.13656,0.188887,0.164,0.163259,0.163198,0.265742,0.275271,0.135569,0.189753,0.203062,0.188877,0.0809583
"120",NA,"Main_RecrDev_2002",-0.455505,-0.497303,-0.488143,-0.510352,-0.479733,-0.464617,-0.497231,-0.496279,-0.653617,-0.621796,-0.40496,-0.489638,-0.386463,-0.39276,-0.164844
